meter_id,meter,model,feature_count,context_rows,regime_id,regime,normal_count,false_positive_count,rate
3,Hotwater,trees,137,5000,6,100k–300k,51,3,0.058823529411764705
3,Hotwater,trees,137,5000,7,≥300k,0,0,
3,Hotwater,trees,137,10000,0,0–1,101723,40516,0.3982973368854635
3,Hotwater,trees,137,10000,1,1–10,48546,9011,0.1856177645944053
3,Hotwater,trees,137,10000,2,10–100,135177,3269,0.024183108073118947
3,Hotwater,trees,137,10000,3,100–1k,205426,1278,0.006221218346265808
3,Hotwater,trees,137,10000,4,1k–10k,50056,134,0.002677001758031005
3,Hotwater,trees,137,10000,5,10k–100k,4451,9,0.002022017524151876
3,Hotwater,trees,137,10000,6,100k–300k,51,0,0.0
3,Hotwater,trees,137,10000,7,≥300k,0,0,
3,Hotwater,trees,137,20000,0,0–1,101723,35033,0.3443960559558802
3,Hotwater,trees,137,20000,1,1–10,48546,6715,0.1383224158530054
3,Hotwater,trees,137,20000,2,10–100,135177,2989,0.022111749779918182
3,Hotwater,trees,137,20000,3,100–1k,205426,1595,0.007764353100386514
3,Hotwater,trees,137,20000,4,1k–10k,50056,252,0.0050343615151030845
3,Hotwater,trees,137,20000,5,10k–100k,4451,29,0.006515389800044934
3,Hotwater,trees,137,20000,6,100k–300k,51,0,0.0
3,Hotwater,trees,137,20000,7,≥300k,0,0,
3,Hotwater,trees,137,50000,0,0–1,101723,31066,0.3053979925877137
3,Hotwater,trees,137,50000,1,1–10,48546,8580,0.1767395871956495
3,Hotwater,trees,137,50000,2,10–100,135177,2724,0.020151357109567457
3,Hotwater,trees,137,50000,3,100–1k,205426,1363,0.006634992649421203
3,Hotwater,trees,137,50000,4,1k–10k,50056,238,0.004754674764264024
3,Hotwater,trees,137,50000,5,10k–100k,4451,36,0.008088070096607504
3,Hotwater,trees,137,50000,6,100k–300k,51,0,0.0
3,Hotwater,trees,137,50000,7,≥300k,0,0,
3,Hotwater,trees,137,100000,0,0–1,101723,27140,0.2668029845757597
3,Hotwater,trees,137,100000,1,1–10,48546,7240,0.14913690108350844
3,Hotwater,trees,137,100000,2,10–100,135177,3115,0.023043861011858527
3,Hotwater,trees,137,100000,3,100–1k,205426,1093,0.005320650745280539
3,Hotwater,trees,137,100000,4,1k–10k,50056,180,0.0035959725107879174
3,Hotwater,trees,137,100000,5,10k–100k,4451,16,0.003594697820714446
3,Hotwater,trees,137,100000,6,100k–300k,51,0,0.0
3,Hotwater,trees,137,100000,7,≥300k,0,0,
