meter_id,meter,model,context_rows,regime_id,regime,anomaly_count,baseline_detected_count,f1_detected_count,threshold
3,Hotwater,tabpfn,100000,2,10–100,1362,779,742,0.5539127588272095
3,Hotwater,tabpfn,100000,3,100–1k,2267,2140,2121,0.5539127588272095
3,Hotwater,tabpfn,100000,4,1k–10k,309,292,285,0.5539127588272095
3,Hotwater,tabpfn,100000,5,10k–100k,6,5,5,0.5539127588272095
3,Hotwater,tabpfn,100000,6,100k–300k,1,1,1,0.5539127588272095
3,Hotwater,tabpfn,100000,7,≥300k,0,0,0,0.5539127588272095
3,Hotwater,trees,5000,0,0–1,86220,77851,68621,0.8503103256225586
3,Hotwater,trees,5000,1,1–10,526,131,74,0.8503103256225586
3,Hotwater,trees,5000,2,10–100,1362,734,581,0.8503103256225586
3,Hotwater,trees,5000,3,100–1k,2267,2005,1648,0.8503103256225586
3,Hotwater,trees,5000,4,1k–10k,309,269,200,0.8503103256225586
3,Hotwater,trees,5000,5,10k–100k,6,5,0,0.8503103256225586
3,Hotwater,trees,5000,6,100k–300k,1,0,0,0.8503103256225586
3,Hotwater,trees,5000,7,≥300k,0,0,0,0.8503103256225586
3,Hotwater,trees,10000,0,0–1,86220,75146,67239,0.7863837480545044
3,Hotwater,trees,10000,1,1–10,526,124,60,0.7863837480545044
3,Hotwater,trees,10000,2,10–100,1362,718,578,0.7863837480545044
3,Hotwater,trees,10000,3,100–1k,2267,2072,1821,0.7863837480545044
3,Hotwater,trees,10000,4,1k–10k,309,287,244,0.7863837480545044
3,Hotwater,trees,10000,5,10k–100k,6,5,2,0.7863837480545044
3,Hotwater,trees,10000,6,100k–300k,1,0,0,0.7863837480545044
3,Hotwater,trees,10000,7,≥300k,0,0,0,0.7863837480545044
3,Hotwater,trees,20000,0,0–1,86220,73247,66612,0.7409506440162659
3,Hotwater,trees,20000,1,1–10,526,87,35,0.7409506440162659
3,Hotwater,trees,20000,2,10–100,1362,734,635,0.7409506440162659
3,Hotwater,trees,20000,3,100–1k,2267,2111,1960,0.7409506440162659
3,Hotwater,trees,20000,4,1k–10k,309,291,261,0.7409506440162659
3,Hotwater,trees,20000,5,10k–100k,6,6,5,0.7409506440162659
3,Hotwater,trees,20000,6,100k–300k,1,0,0,0.7409506440162659
3,Hotwater,trees,20000,7,≥300k,0,0,0,0.7409506440162659
3,Hotwater,trees,50000,0,0–1,86220,72065,66240,0.7396552562713623
3,Hotwater,trees,50000,1,1–10,526,118,46,0.7396552562713623
3,Hotwater,trees,50000,2,10–100,1362,766,674,0.7396552562713623
3,Hotwater,trees,50000,3,100–1k,2267,2154,2058,0.7396552562713623
3,Hotwater,trees,50000,4,1k–10k,309,299,283,0.7396552562713623
3,Hotwater,trees,50000,5,10k–100k,6,6,5,0.7396552562713623
3,Hotwater,trees,50000,6,100k–300k,1,0,0,0.7396552562713623
3,Hotwater,trees,50000,7,≥300k,0,0,0,0.7396552562713623
3,Hotwater,trees,100000,0,0–1,86220,70948,65778,0.7266824245452881
3,Hotwater,trees,100000,1,1–10,526,110,43,0.7266824245452881
3,Hotwater,trees,100000,2,10–100,1362,778,708,0.7266824245452881
3,Hotwater,trees,100000,3,100–1k,2267,2171,2102,0.7266824245452881
3,Hotwater,trees,100000,4,1k–10k,309,303,293,0.7266824245452881
3,Hotwater,trees,100000,5,10k–100k,6,5,4,0.7266824245452881
3,Hotwater,trees,100000,6,100k–300k,1,0,0,0.7266824245452881
3,Hotwater,trees,100000,7,≥300k,0,0,0,0.7266824245452881
